time_step,time_hours,net_import,net_export,thermal_total,nuclear_total,solar_total,wind_total,hydro_release_total,hydro_ror_total,battery_discharge_total,pumped_discharge_total,demand_total,demand_response_total,unserved_total,solar_spill_total,wind_spill_total,overgen_spill_total,battery_soc_total,pumped_level_total,hydro_spill_total
0,0.0,0.0,281.4709232488693,0.0,540.0,40.582545455795994,1252.6869712277658,0.0,721.1544599763051,265.8151773447041,80.0,1785.3515808012974,0.0,0.0,8.049116928532385e-15,0.0,0.0,923.6315115132389,743.623607529918,0.0
1,0.25,0.0,291.3602457582118,0.0,540.0,44.70809236122889,1221.4115988929998,0.0,434.2210619815649,475.86585188818435,76.9939893989272,1842.179164159336,0.0,0.0,9.43689570931383e-16,0.0,0.0,899.1111201795375,759.6462014547868,0.0
2,0.5,0.0,355.4793026190105,0.0,540.0,53.382231455937706,1354.3263065544588,0.0,642.266416430853,386.98651845575864,0.0,1876.4821702779977,0.0,0.0,6.654399253847032e-15,0.0,0.0,918.5968956109311,796.2913374381461,0.0
3,0.75,0.0,334.28836218479523,0.0,540.0,46.51145848702919,1221.2028843305188,0.0,418.8687202005344,518.4988383932905,0.0,1853.4325253497977,7.638986123220095,0.0,-1.7763568394002505e-15,0.0,0.0,861.0771736371449,832.9044238913563,0.0
4,1.0,0.0,352.5778386886931,0.0,540.0,32.753896877396144,1229.8841776208203,0.0,594.8052426022939,443.01268677208634,0.0,1903.2721342113348,0.0,0.0,5.551115123125783e-16,0.0,0.0,829.726812589735,868.9899710826345,0.0
5,1.25,0.0,414.67177008947056,0.0,540.0,81.94153956464976,1496.786016977778,0.0,498.26827705058577,318.3656844829342,0.0,1855.6897479864772,0.0,0.0,1.176836406102666e-14,0.0,0.0,868.6434530295506,886.8847178113085,0.0
6,1.5,0.0,452.6536088519507,0.0,540.0,54.73994958867511,1398.751982956535,0.0,667.6802574623534,357.74072826398555,0.0,1967.1593042989373,0.0,0.0,1.1324274851176597e-14,0.0,0.0,881.800867932103,904.7638139438145,787.3786956673675
7,1.75,0.0,424.05309093920005,0.0,540.0,80.52991828244075,1452.203694554855,0.0,584.4024689168851,321.7243446124115,0.0,1889.8073354273922,0.0,0.0,9.880984919163893e-15,0.0,0.0,919.7055526429162,922.6272731680336,0.0
8,2.0,0.0,326.78038889290946,0.0,540.0,105.1881786614019,1183.0334717346943,0.0,796.0097295442508,271.4113550679212,0.0,1946.1710682071714,0.0,0.0,1.2434497875801753e-14,0.0,0.0,962.3655805565711,940.4751091598752,0.0
9,2.25,0.0,410.8572754092494,0.0,540.0,108.028843890605,1490.4334661663331,0.0,896.5668634401582,0.0,0.0,1959.1718980878468,0.0,0.0,15.915244562962734,88.43659754867691,0.0,1090.862778016592,958.3073355832878,0.0
