time_step,time_hours,net_import,net_export,thermal_total,nuclear_total,solar_total,wind_total,hydro_release_total,hydro_ror_total,battery_discharge_total,pumped_discharge_total,demand_total,demand_response_total,unserved_total,solar_spill_total,wind_spill_total,overgen_spill_total,battery_soc_total,pumped_level_total,hydro_spill_total
0,0.0,0.0,0.0,0.0,540.0,103.0829016450312,5785.65192806755,2469.8977904592844,2859.6471943443453,150.7315411305301,0.0,8512.49517620326,0.0,0.0,28.17046621836197,840.3831333449782,0.0,3142.2306845622356,3962.172961485867,0.0
1,0.25,0.0,0.0,0.0,540.0,135.68353054618765,6109.258252028142,1762.4370923704932,2763.765594809219,101.8094448196618,0.0,8623.780483758937,0.0,0.0,5.530198452113721,320.7671089251808,0.0,3500.7406993539876,4201.106123977905,0.0
2,0.5,0.0,0.0,0.0,540.0,133.06016287357852,5738.172634031187,1288.5777388079869,2344.714420480327,63.34575375858807,0.0,8500.609010377671,0.0,0.0,20.23411483042972,941.0821899199505,0.0,3586.4807605610904,4459.109797622341,0.0
3,0.75,0.0,171.1445969974757,0.0,540.0,204.53506594829014,5101.7712937486995,1205.899749029265,2964.6186632870026,76.0148548099992,0.0,8731.899126517512,0.0,0.0,15.681674875194394,1532.6127360508851,0.0,3575.1318606683835,4716.919224781523,0.0
4,1.0,0.0,241.285050298549,0.0,540.0,216.8938828535695,5692.592886645165,906.4923351865841,2599.461879848581,68.041871063027,0.0,8794.351833571865,0.0,0.0,36.52421838033164,1164.1973268942156,0.0,3589.2528322279245,4903.240282454261,0.0
5,1.25,0.0,225.82997097419354,0.0,540.0,300.8803742337775,5422.7830180550945,1177.9104851000789,2332.359238449365,226.87081034325172,0.0,9029.551681268116,0.0,0.0,51.468961561873165,1065.283737854427,0.0,3525.8341715975644,5067.441540953537,0.0
6,1.5,0.0,167.0619897119824,0.0,540.0,352.4123588234765,5594.035358360512,811.7466783148703,2604.4504819764256,58.54813285006506,0.0,8964.928302035752,0.0,0.0,63.5770973439807,1162.9835844616305,0.0,3528.2787109322985,5231.519175176896,0.0
7,1.75,0.0,118.91612751212762,0.0,540.0,356.834897183553,6054.225701577047,597.1386653600048,1909.7204162851142,100.30871771764072,0.0,8880.42737942631,0.0,0.0,75.04266166636612,703.8288817165208,0.0,3517.1087059066735,5334.467632589409,0.0
8,2.0,0.0,299.12751787481017,0.0,540.0,431.5004329710549,5926.898215246414,212.21790143321428,3060.7755316058356,104.40922911600876,0.0,9190.411703359221,0.0,0.0,97.24103751333529,1252.0106602622016,0.0,3510.2364680363207,5484.70573839808,0.0
9,2.25,0.0,311.2108475624839,0.0,540.0,561.0387394327374,5717.659269021696,374.4095298202253,2676.261406868936,128.72506097414794,0.0,9273.662239192012,0.0,0.0,64.28548284452437,707.3139669572646,0.0,3471.6274207119063,5573.85018922891,0.0
10,2.5,0.0,376.75063059819365,0.0,540.0,537.236925781023,5483.4111160779385,44.47039850081775,3767.72159865073,20.819726473762607,0.0,9266.661375269725,0.0,0.0,147.93023242936277,1370.3838569367829,0.0,3485.3471446872036,5718.457657613608,0.0
11,2.75,0.0,194.19992963555396,0.0,540.0,626.6751140886147,4769.0165577216685,16.472315315454807,3961.824243995322,0.0,0.0,9308.16005027001,0.0,0.0,155.98786726682184,2001.6481470124718,0.0,3495.3466484223827,5793.909547955653,0.0
12,3.0,0.0,228.5975320371906,0.0,540.0,676.3840695663159,5156.531764919874,0.5714954367871883,3657.332439835017,19.57554654460354,0.0,9389.273744672244,0.0,0.0,240.7160617109914,1588.6333990040018,0.0,3500.102509730048,5873.927027409254,0.0
13,3.25,0.0,208.9909184364979,0.0,540.0,731.6077335566854,4897.393539382688,221.50212946707782,3446.7689045428324,4.415442898985063,0.0,9495.888567915012,0.0,0.0,224.0372468349679,1594.1612499114958,0.0,3513.287335689047,5880.548855261786,0.0
14,3.5,0.0,211.52248543023194,0.0,540.0,797.295381374667,5750.093714521888,123.35386056772249,2407.6212215913133,11.097523764074467,0.0,9384.629155859655,0.0,0.0,276.27443140290376,1479.686953475,0.0,3512.023618967591,5876.121492153467,0.0
15,3.75,0.0,235.6567897394951,0.0,540.0,933.532988661385,5497.137593502026,145.20081907405697,2848.01398567667,84.60031834114923,0.0,9723.510050204239,0.0,0.0,222.8431273019565,1538.9813408532082,0.0,3502.7642403071886,5871.697462329946,0.0
16,4.0,0.0,289.1852907170813,0.0,540.0,829.878331942772,4919.70715500587,41.11320964762437,3786.573764980601,85.95563632283205,0.0,9796.685521891148,0.0,0.0,378.919644762073,2594.0554095943517,0.0,3499.415056024139,5867.276763281647,0.0
17,4.25,0.0,286.79779787181735,0.0,540.0,1084.4023152957395,5913.121175327807,178.51713387193894,2606.5386898424813,10.791552051472067,0.0,9972.370973180232,0.0,0.0,274.14814634936846,1267.546117802573,0.0,3507.409088463304,5862.85939250089,0.0
18,4.5,0.0,219.90541014287066,0.0,540.0,1231.9996020429912,5927.288965626871,29.008817624725552,2486.9173612086224,0.0,0.0,9868.817445621089,0.0,0.0,322.7900978800022,1456.7494938206742,0.0,3530.1050677029584,5858.445347481879,0.0
19,4.75,0.0,213.1182541130695,0.0,540.0,1215.3221375720834,4733.285357338216,579.5616512973473,3207.46129207296,83.9907243182263,0.0,9962.12911776347,0.0,0.0,459.5340552840059,1957.89818501602,0.0,3542.256778203392,5854.034625720707,0.0
20,5.0,0.0,187.7010112265068,0.0,540.0,1430.5057314057683,5218.539855813613,248.95220437409904,2882.304873786663,58.482362233992475,0.0,10163.66413880642,0.0,0.0,378.24131014245484,1482.9328652362847,0.0,3526.393492343766,5849.627224715348,0.0
