time_step,time_hours,net_import,net_export,thermal_total,nuclear_total,solar_total,wind_total,hydro_release_total,hydro_ror_total,battery_discharge_total,pumped_discharge_total,demand_total,demand_response_total,unserved_total,solar_spill_total,wind_spill_total,overgen_spill_total,battery_soc_total,pumped_level_total,hydro_spill_total
0,0.0,0.0,376.9026564869811,0.0,540.0,56.781522346257134,1852.4871388000665,0.0,1274.5019060899822,25.55991157957307,35.271843105084834,3374.537899373064,0.0,0.0,2.1538326677728037e-14,0.0,0.0,3073.094394729098,1222.7254816583782,0.0
1,0.25,0.0,359.5769047707708,0.0,540.0,44.45454153671548,2142.2971191578727,0.0,204.60414539992377,322.18744256667736,320.0,3213.9663438904186,0.0,0.0,5.218048215738236e-15,0.0,0.0,2985.9941607278975,1135.795290015854,600.2007309342753
2,0.5,0.0,414.36464823609924,0.0,540.0,54.48502648488315,1848.9506696500473,91.80804181585958,1046.6864901395766,0.0,144.40927177005864,3267.442681342144,0.0,0.0,7.549516567451064e-15,0.0,0.0,2991.310947310342,1100.0870698767662,600.2007309342753
3,0.75,0.0,367.3746052205112,0.0,540.0,79.2625983294663,1818.3793475799312,0.0,1024.8047455828685,36.1665749090198,52.34770964527104,3183.5863708260454,0.0,0.0,-2.866457071704076e-14,0.0,0.0,2980.635817047224,1085.0116884372708,0.0
4,1.0,0.0,380.5421711119004,0.0,540.0,76.03022804857704,2064.3910290728654,0.0,1390.631585407615,13.757968633024255,0.0,3380.3618737344186,0.0,0.0,1.8041124150158794e-14,0.0,0.0,3007.9694132327854,1127.602023549915,0.0
5,1.25,0.0,378.30223929536567,0.0,540.0,89.00036845077811,2088.242283927528,70.64572103212711,890.3009457168572,0.0,100.1144575527426,3400.0015373846677,0.0,0.0,-1.4488410471358293e-14,0.0,0.0,3006.9488727981184,1099.6976796185309,0.0
6,1.5,0.0,352.4924698664062,0.0,540.0,140.66735178787323,2181.673817959581,41.722902042968755,693.424054837492,25.238183713510352,146.73852323893465,3416.9723637139537,0.0,0.0,3.885780586188048e-15,0.0,0.0,2999.187455390691,1059.323274365458,600.2007309342753
7,1.75,0.0,398.87871793987404,0.0,540.0,135.25787250826892,2202.9249338631944,0.0,1051.5761311240594,0.0,0.0,3389.805691008188,0.0,0.0,3.9968028886505635e-15,0.0,0.0,3012.102096941769,1077.3294815309587,0.0
8,2.0,0.0,370.3607383368279,0.0,540.0,192.89950643483994,1938.553786210195,63.532238202289506,979.2545762901788,0.0,77.20551109942346,3421.0848799000987,0.0,0.0,-3.1086244689504383e-15,0.0,0.0,3011.0801543748826,1055.6131222170895,0.0
9,2.25,0.0,330.3837460774434,0.0,540.0,185.3570956786298,1859.680186383646,0.0,1046.6369022923864,5.239449813673559,194.70493697453068,3435.834205094254,0.0,0.0,-5.329070518200751e-15,0.0,0.0,3023.9622452112867,1002.4242345048322,600.2007309342753
10,2.5,0.0,413.9803569807576,0.0,540.0,158.05858968529895,2156.762050653766,0.0,1220.0112323886603,23.353801672708812,13.422149919193544,3463.3811105202462,0.0,0.0,1.3433698597964394e-14,0.0,0.0,3054.6000776699398,1014.7263261945162,0.0
11,2.75,0.0,444.0356908290645,0.0,540.0,231.96385369701244,2040.2143030036405,0.0,1362.848643100185,50.66209890323338,43.17811652384407,3645.4291534024837,0.0,0.0,5.171089084672808,17.809639189630545,0.0,3065.5266828789945,1018.6163886451393,0.0
12,3.0,0.0,432.64643879631,0.0,540.0,259.41940031883814,1939.0447642574006,17.09705224482741,682.9387265177194,238.64707185252925,316.9438078825318,3561.444384277537,0.0,0.0,6.217248937900877e-15,0.0,0.0,3000.7429948691324,932.6991792798622,0.0
13,3.25,0.0,444.93853316885696,0.0,540.0,218.09669081757002,2151.2744794880014,0.0,1259.4804369010033,0.0,57.14023755036038,3690.578911723893,0.0,0.0,5.10702591327572e-14,0.0,0.0,3020.895113844653,916.49822921914,0.0
14,3.5,0.0,412.06077969975945,0.0,540.0,256.2875599783653,1868.6791642666433,73.80986399584245,1115.8901478750722,90.27376989973598,255.0334530762932,3787.913179392193,0.0,0.0,-3.730349362740526e-14,0.0,0.0,2995.7576908037063,847.2717155251862,0.0
15,3.75,0.0,414.702509112496,0.0,540.0,255.92858102573985,1885.0878315733721,69.65040241914247,1215.0279209714222,18.788322060356506,158.6147015033235,3728.3952504408608,0.0,0.0,1.7319479184152442e-14,0.0,0.0,2989.722855043133,803.9538823913815,0.0
16,4.0,0.0,340.48934297529195,0.0,540.0,286.03566579890594,2237.790255843941,0.0,1145.7520639645281,0.0,23.507630806318843,3785.9705368804266,0.0,0.0,-6.572520305780927e-14,0.0,0.0,3013.6579825464723,796.8896830255392,0.0
17,4.25,0.0,362.8093524901799,0.0,540.0,321.37882958448824,1727.0420156269106,0.0,1687.5285039554688,0.0,0.0,3766.904947220884,0.0,0.0,-2.1760371282653068e-14,0.0,0.0,3030.007338210186,812.9207036285314,0.0
18,4.5,0.0,395.19203842223186,0.0,540.0,370.367939359435,2141.6979690709163,0.0,1441.3209726524017,0.0,0.0,3855.773127747814,0.0,0.0,2.042810365310288e-14,0.0,0.0,3050.6367987625654,847.0948596842104,0.0
19,4.75,0.0,433.8414253477427,0.0,540.0,354.95342071009856,1978.025980742832,0.0,1453.0958359963893,0.0,62.19113385947453,3840.23926714314,0.0,0.0,-3.2862601528904634e-14,0.0,0.0,3059.318090318136,846.564938934064,0.0
20,5.0,0.0,390.1849997988128,0.0,540.0,408.36255658374586,2217.408044136281,0.0,1710.7585595695064,0.0,0.0,4004.711159911381,0.0,0.0,-3.552713678800501e-15,0.0,0.0,3096.100817847897,920.3800118541316,0.0
21,5.25,0.0,416.3313135563103,0.0,540.0,456.89662806569123,2005.7199091616394,0.0,1354.145109268036,0.0,14.908031896866177,3848.9257194793563,0.0,0.0,3.552713678800501e-14,0.0,0.0,3111.9136351639413,923.5188326699887,1200.4014618685505
22,5.5,0.0,296.5115587805816,0.0,540.0,496.16911448993625,1706.9263581252353,0.0,1210.855826756942,132.31565380828107,120.54914868348517,3910.304543083298,0.0,0.0,-4.618527782440651e-14,0.0,0.0,3075.5157704429885,890.3312288211023,0.0
23,5.75,0.0,350.5039817226555,0.0,540.0,550.974773071145,1799.973226422599,140.48624947382064,1096.408958702728,6.536903091089812,252.655531973735,4036.531661012462,0.0,0.0,-1.2434497875801753e-14,0.0,0.0,3072.726279113884,821.7669149649983,0.0
24,6.0,0.0,334.7388342485649,0.0,540.0,587.540343115922,2127.2862773560073,0.0,1393.689698440728,0.0,0.0,4005.6895945035685,0.0,0.0,-7.105427357601002e-15,0.0,0.0,3093.3744648788984,871.2118983762508,0.0
