time_step,time_hours,zone,demand,thermal,nuclear,solar,wind,renewable,solar_spill,wind_spill,renewable_spill,hydro_release,hydro_ror,hydro_spill,battery_charge,battery_discharge,battery_soc,pumped_charge,pumped_discharge,pumped_level,demand_response,unserved,overgen_spill
0,0.0,R1Z1,97.68739679062726,0.0,135.0,4.9431598240909125,73.10963781888778,78.05279764297869,-1.7763568394002505e-15,0.0,-1.7763568394002505e-15,0.0,38.55639014913087,0.0,90.0,0.0,166.41433931197957,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,R1Z2,108.80388767163548,0.0,135.0,0.14629008010693667,57.27342765645052,57.41971773655746,-2.248201624865942e-15,0.0,-2.248201624865942e-15,0.0,77.11278029826174,0.0,90.0,0.0,166.41433931197957,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,R1Z3,97.34249642944064,0.0,0.0,2.9090729588002153,0.0,2.9090729588002153,0.0,0.0,0.0,0.0,77.11278029826174,0.0,90.0,4.976392224072718,165.0273341951634,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,R1Z4,65.98216408447345,0.0,0.0,0.37535593246346366,55.05611243496325,55.43146836742671,1.8318679906315083e-15,0.0,1.8318679906315083e-15,0.0,77.11278029826174,0.0,90.0,0.0,166.41433931197957,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,R1Z5,106.64271359300936,0.0,0.0,7.280518329624428,44.14982055490405,51.43033888452848,8.881784197001252e-16,0.0,8.881784197001252e-16,0.0,38.55639014913087,0.0,45.0,0.0,83.20716965598979,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,R2Z1,87.40842641126478,0.0,135.0,3.6891208269704165,24.22832641217167,27.917447239142085,1.7763568394002505e-15,0.0,1.7763568394002505e-15,0.0,38.55639014913087,0.0,90.0,90.0,141.3298092161399,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,R2Z2,105.19135462040504,0.0,0.0,0.0,33.20828924988164,33.20828924988164,0.0,0.0,0.0,0.0,77.11278029826174,0.0,90.0,90.0,141.3298092161399,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,R2Z3,114.14280526641794,0.0,0.0,10.173065204016766,45.3671252993546,55.54019050337136,0.0,0.0,0.0,0.0,77.11278029826174,0.0,90.0,90.0,141.3298092161399,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,R2Z4,154.95381132713268,0.0,0.0,5.053582067041404,33.512382076272765,38.56596414331417,2.6645352591003757e-15,0.0,2.6645352591003757e-15,0.0,38.55639014913087,0.0,90.0,90.0,141.3298092161399,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,R2Z5,57.50680490996827,0.0,0.0,0.0,22.297336678986454,22.297336678986454,0.0,0.0,0.0,0.0,38.55639014913087,0.0,45.0,45.0,70.66490460806995,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,R2Z6,106.08284386560311,0.0,0.0,4.01111385193407,28.53817725699104,32.54929110892511,0.0,0.0,0.0,0.0,38.55639014913087,0.0,90.0,90.0,141.3298092161399,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,R2Z7,118.89242541257441,0.0,0.0,1.4763070561590865,64.84749390405253,66.32380096021161,-5.551115123125783e-15,0.0,-5.551115123125783e-15,0.0,77.11278029826174,0.0,45.0,45.0,70.66490460806995,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R1Z1,112.16832413351607,0.0,135.0,0.0,95.4050901052853,95.4050901052853,0.0,0.0,0.0,-0.0,34.48572573634943,0.0,90.0,90.0,161.51157056729085,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R1Z2,95.15385989963745,0.0,135.0,1.245574044862778,110.0269933343506,111.27256737921338,-5.773159728050814e-15,0.0,-5.773159728050814e-15,64.99939068730919,68.97145147269886,0.0,90.0,90.0,161.5115705672908,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R1Z3,120.2321907950354,0.0,0.0,2.1427875683068787,0.0,2.1427875683068787,0.0,0.0,0.0,0.0,68.97145147269886,0.0,90.0,90.0,160.12456545047468,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R1Z4,60.01097122400348,0.0,0.0,1.7209051076243007,26.539685247478857,28.260590355103158,1.1102230246251565e-15,0.0,1.1102230246251565e-15,0.0,68.97145147269886,0.0,90.0,90.0,161.51157056729085,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R1Z5,100.05253480340144,0.0,0.0,0.5730651044330664,16.13051227533907,16.703577379772135,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,34.48572573634943,0.0,45.0,45.0,80.75578528364542,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R2Z1,79.57296288518054,0.0,135.0,3.946074037046941,48.34839258386364,52.29446662091058,4.440892098500626e-16,0.0,4.440892098500626e-16,0.0,34.48572573634943,0.0,90.0,90.0,136.4270404714511,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R2Z2,80.00549413704553,0.0,0.0,0.0,39.87495847300179,39.87495847300179,0.0,0.0,0.0,0.0,68.97145147269886,0.0,90.0,90.0,136.4270404714511,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R2Z3,102.50119003826647,0.0,0.0,0.0,51.86094412994884,51.86094412994884,0.0,0.0,0.0,0.0,68.97145147269886,0.0,90.0,90.0,136.4270404714511,0.0,0.0,0.0,0.0,0.0,0.0
