time_step,time_hours,zone,demand,thermal,nuclear,solar,wind,solar_spill,wind_spill,hydro_release,hydro_ror,hydro_spill,battery_charge,battery_discharge,battery_soc,pumped_charge,pumped_discharge,pumped_level,demand_response,unserved,overgen_spill
1,0.25,R1Z3,119.6471218636667,0.0,0.0,2.724259502169474,83.4049799751804,-1.7763568394002505e-15,0.0,0.0,69.32533985479438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R1Z4,118.02257819941696,0.0,0.0,10.43668928654288,50.54141494975578,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,66.33694088678638,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R1Z5,110.73714146670274,0.0,0.0,0.222227884533595,63.069052433124554,-3.191891195797325e-15,0.0,0.0,69.32533985479438,0.0,0.0,0.0,76.780112147699,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R1Z6,179.12842321066225,0.0,0.0,0.3866576166371942,98.39009029320324,3.885780586188048e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R1Z7,115.80861902425774,0.0,0.0,10.094022203943446,52.46359409051852,-1.7763568394002505e-15,0.0,0.0,34.66266992739719,0.0,0.0,0.0,70.33172825600299,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R1Z8,91.4049460593031,0.0,0.0,0.17238320974718135,146.53791212768795,-6.300515664747763e-15,0.0,0.0,0.0,0.0,0.0,0.0,69.60376316671785,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R2Z1,132.1367686404746,0.0,0.0,0.0,163.2573200167916,0.0,0.0,0.0,34.66266992739719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R2Z2,123.39563995190588,0.0,0.0,0.0,150.37150578992782,0.0,0.0,0.0,34.66266992739719,0.0,90.0,90.0,133.2387980184837,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R2Z3,131.79623272372334,0.0,0.0,7.288685059376888,107.9289315522775,-7.105427357601002e-15,0.0,0.0,0.0,0.0,90.0,90.0,169.2354868227892,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,R2Z4,114.66779563894973,0.0,0.0,7.1372364088164915,85.65754551105725,-6.217248937900877e-15,0.0,0.0,69.32533985479438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
