time_step,time_hours,net_import,net_export,thermal_total,nuclear_total,solar_total,wind_total,hydro_release_total,hydro_ror_total,battery_discharge_total,pumped_discharge_total,demand_total,demand_response_total,unserved_total,solar_spill_total,wind_spill_total,overgen_spill_total,battery_soc_total,pumped_level_total,hydro_spill_total
0,0.0,0.0,14.180693800643951,0.0,270.0,33.22249612440548,1099.9183746782505,0.0,430.7474150133541,0.0,80.0,1351.4964662017503,0.0,0.0,-8.215650382226158e-15,0.0,0.0,1073.9403784555443,645.3018031086608,0.0
1,0.25,0.0,0.0,0.0,270.0,17.933291683719176,1010.3966212188349,122.6863791673261,357.890042703131,0.0,80.0,1443.515812042153,0.0,0.0,8.992806499463768e-15,0.0,0.0,1151.2230786683576,642.0405392099799,0.0
2,0.5,0.0,0.0,0.0,270.0,22.870074973137214,1068.7416465397139,77.1074350596379,423.98248915832056,0.0,80.0,1401.6596146380969,0.0,0.0,9.769962616701378e-15,0.0,0.0,1258.0468925463765,638.781669684375,0.0
3,0.75,0.0,18.496206233626964,0.0,270.0,45.43900899098464,860.602349012779,0.0,435.4957032573097,0.0,80.0,1408.5947072171493,0.0,0.0,-9.825473767932635e-15,0.0,0.0,1296.7630079354997,638.0703953624269,0.0
4,1.0,0.0,0.0,0.0,270.0,43.17800312262492,810.2263353816209,90.20796312856258,199.88221908035487,18.927756484632994,80.0,1396.3159242924355,0.0,0.0,-3.9968028886505635e-15,0.0,0.0,1289.4102776876132,643.2338816536893,0.0
5,1.25,0.0,47.07735696822644,0.0,270.0,74.14506412341152,869.2821368494048,0.0,233.04693436639084,40.797451749130275,80.0,1440.1942301201102,0.0,0.0,-4.107825191113079e-15,0.0,0.0,1276.2843657600833,639.9741359932156,0.0
6,1.5,0.0,147.0050573068285,0.0,270.0,38.64025465648923,1032.6999213046581,89.26423191978711,261.31433377573273,0.0,80.0,1462.1153326341848,0.0,0.0,1.3322676295501878e-14,0.0,0.0,1274.6377490393827,655.371541697327,0.0
7,1.75,0.0,194.85420278816343,0.0,270.0,85.54759757650717,1122.851750139047,0.0,435.90852627600464,0.0,79.23475984532989,1543.4359093977218,0.0,0.0,1.1435297153639112e-14,0.0,0.0,1304.2222022071035,661.6942538138542,0.0
8,2.0,0.0,150.8164677391381,0.0,270.0,61.8248145011721,1148.5353170125918,0.0,245.5990352178318,0.0,80.0,1503.8866284701196,0.0,0.0,3.419486915845482e-14,0.0,0.0,1318.6958531309199,658.4209548134949,0.0
9,2.25,0.0,253.71043191423126,0.0,270.0,100.76513052641916,1091.66982716743,0.0,251.6124729300574,0.0,80.0,1431.7462625750607,0.0,0.0,-2.375877272697835e-14,0.0,0.0,1323.0651165759514,655.1500590222101,0.0
10,2.5,0.0,352.24320411741405,0.0,270.0,98.23551432994398,1087.0821590218459,0.0,405.37869542428746,0.0,72.32135633435162,1492.4169774615448,0.0,0.0,-1.1546319456101628e-14,0.0,0.0,1322.6470841368805,653.9396572067224,0.0
11,2.75,0.0,193.83503344539406,0.0,270.0,100.72884712175308,1092.5379910964389,0.0,373.2323004239816,0.0,35.306753916481526,1597.970859113261,0.0,0.0,-9.131584377541913e-15,0.0,0.0,1320.2556253134662,662.6510988569079,0.0
12,3.0,0.0,0.0,0.0,270.0,118.73230275404377,605.046707117338,38.71617503190842,289.78648216507185,185.32961364704494,80.0,1587.611280715407,0.0,0.0,-1.021405182655144e-14,0.0,0.0,1268.8323536169448,640.7223392484941,0.0
13,3.25,0.0,324.9881290111301,0.0,270.0,167.03422364785456,1117.7047192870664,0.0,461.49589558358775,0.0,7.496599360841316,1618.7433088682199,0.0,0.0,9.769962616701378e-15,0.0,0.0,1266.5381964196977,656.897388687255,0.0
14,3.5,0.0,112.44781613627322,0.0,270.0,174.05579323329613,1084.302328499001,0.0,370.8482917032054,4.015904042522109,0.0,1674.491484718928,0.0,0.0,3.6415315207705135e-14,0.0,0.0,1271.7562389075385,675.069862173076,0.0
15,3.75,0.0,98.86850429962846,0.0,270.0,143.6918127820339,1036.157127208371,0.0,405.3879338853742,0.0,0.0,1650.2798856328209,0.0,0.0,1.687538997430238e-14,0.0,0.0,1275.6193021601068,693.2289936900796,0.0
16,4.0,0.0,209.63072454175915,0.0,270.0,135.85088912932213,1047.0317545907378,0.0,459.9192072192255,0.0,21.72857146845456,1644.899697865981,0.0,0.0,1.9539925233402755e-14,0.0,0.0,1273.3128735805897,705.5509245748855,0.0
17,4.25,0.0,217.31020061509088,0.0,270.0,212.06402194691975,1103.506237018967,0.0,421.33604922672276,0.0,20.28082836130409,1729.876935938823,0.0,0.0,-2.1316282072803006e-14,0.0,0.0,1271.010615220811,718.2518447582546,0.0
18,4.5,0.0,71.807463626235,0.0,270.0,199.22590104434522,894.5401030356987,0.0,408.4976735916497,18.121780600580664,80.0,1738.4598487562312,0.0,0.0,1.4210854715202004e-14,0.0,0.0,1263.917699674943,710.3008822484984,0.0
19,4.75,0.0,56.7460614495003,0.0,270.0,232.67316830263266,941.028404183955,0.0,382.5387365459721,40.742217671970835,18.26404222068794,1748.5005074757182,0.0,0.0,1.7763568394002505e-15,0.0,0.0,1250.8524948216211,723.5388705065811,0.0
20,5.0,0.0,0.0,0.0,270.0,240.34143394215238,1040.9945364431246,35.4652686189755,276.70112416619094,99.2897644355593,71.69804323943211,1954.490170845435,0.0,0.0,-1.865174681370263e-14,0.0,0.0,1222.3198888577278,722.4453240542884,0.0
21,5.25,0.0,51.420292834647,0.0,270.0,265.84370383971157,834.3745361906933,0.0,440.6922765372267,10.627270835944664,80.0,1850.1174945689293,0.0,0.0,-3.552713678800501e-15,0.0,0.0,1217.2979735151564,700.4726643852329,0.0
22,5.5,0.0,209.73305896764427,0.0,270.0,282.63536646433954,1010.2157893452141,0.0,477.4230992856775,0.0,45.034261031874905,1795.5754571594618,0.0,0.0,4.618527782440651e-14,0.0,0.0,1215.0969948758795,706.5426965926415,0.0
23,5.75,0.0,0.0,0.0,270.0,277.7380728081355,845.021674121001,37.42398361634284,190.82421209808078,186.0713058543477,80.0,1887.0792484979079,0.0,0.0,1.7763568394002505e-14,0.0,0.0,1163.6676155209493,684.5817124040797,0.0
24,6.0,0.0,100.56392009510421,0.0,270.0,318.62611035774654,852.7797713876691,0.0,384.0250846383912,74.69454761580681,80.0,1873.598303421502,0.0,0.0,8.881784197001252e-15,0.0,0.0,1141.8002657340382,664.0273984229033,0.0
25,6.25,0.0,245.69712650768173,0.0,270.0,353.32372498550586,946.2848862336687,0.0,424.4360752888205,0.0,80.0,1817.1564538567886,0.0,0.0,7.105427357601002e-15,0.0,0.0,1139.7357933945793,644.7072205807317,0.0
26,6.5,0.0,0.0,0.0,270.0,352.2092811085322,691.7893206317995,3.56344240596259,342.3240137539709,139.6755175760582,80.0,1879.5615754763235,0.0,0.0,0.0,0.0,0.0,1100.718478657785,622.7916351098182,0.0
27,6.75,0.0,80.1372152669221,0.0,270.0,403.47121111712823,678.3797468791607,0.0,540.0,0.0,80.0,1883.7705809588308,0.0,0.0,-2.4868995751603507e-14,0.0,0.0,1098.7282856959193,602.7443617645819,0.0
28,7.0,0.0,21.307049951654676,0.0,270.0,398.598475319121,640.5984628834788,0.0,416.0696692886023,119.35682113222417,80.0,1903.3163786717716,0.0,0.0,1.0658141036401503e-14,0.0,0.0,1065.1612151871836,580.8595848214261,0.0
29,7.25,0.0,182.1128968319423,0.0,270.0,412.1249498894409,643.0992164949071,0.0,537.0149998216539,24.169350583359886,80.0,1784.2956199574194,0.0,0.0,-3.552713678800501e-15,0.0,0.0,1056.8403737481838,558.9908753669242,0.0
30,7.5,0.0,0.0,0.0,270.0,438.9376969621244,614.0481952717303,39.7839791266079,254.72549184392014,53.172031776708565,80.0,1750.667394981091,0.0,0.0,-7.105427357601002e-15,0.0,0.0,1040.860792994753,537.1382216045573,0.0
31,7.75,0.0,240.94605294186073,0.0,270.0,473.9553075940811,748.934939808212,0.0,423.0848491183527,88.7893514134055,80.0,1763.8183949921906,0.0,0.0,4.973799150320701e-14,0.0,0.0,1015.4861614489298,533.9563698526445,0.0
32,8.0,0.0,61.06405558214969,0.0,270.0,484.6707875597575,683.0982451421092,0.0,293.6140459301635,135.0,80.0,1831.0294771184754,0.0,0.0,3.552713678800501e-15,0.0,0.0,977.9305901550653,524.7815754024307,0.0
33,8.25,0.0,0.0,0.0,270.0,532.4474901651145,408.5275561484019,67.51563384555166,383.1165089162987,49.50934420136872,73.09379429392744,1704.2103275706627,0.0,0.0,2.1316282072803006e-14,0.0,0.0,963.0627910719719,523.4598531489539,0.0
34,8.5,0.0,262.458361148223,0.0,270.0,567.5691008863794,687.095990215896,0.0,275.29128621924457,126.74216110462402,80.0,1664.2401772779208,0.0,0.0,1.4210854715202004e-14,0.0,0.0,927.786937245727,520.2880438585447,0.0
35,8.75,0.0,55.844467682156704,0.0,270.0,605.4840509069952,408.1696288885553,0.0,298.86307473171473,164.62657264139327,80.0,1762.1050048378852,0.0,0.0,-2.1316282072803006e-14,0.0,0.0,882.5510748502102,500.6076693404126,0.0
36,9.0,0.0,259.5224792126603,0.0,270.0,640.050439587044,569.1134146784437,0.0,360.4975720062446,110.9716125040226,80.0,1691.1105595630947,0.0,0.0,1.0658141036401503e-14,0.0,0.0,851.5935033324986,497.45263779487226,0.0
37,9.25,0.0,240.35657613852126,0.0,270.0,662.9844380302291,506.28453312662697,0.0,331.968771971299,90.02836860256002,80.0,1620.9095355921938,0.0,0.0,-3.907985046680551e-14,0.0,0.0,826.2332531518359,494.29992262814136,0.0
38,9.5,0.0,47.25681310054429,0.0,270.0,691.0375013401998,358.4579276341897,0.0,305.98078761020713,116.3560281786099,80.0,1694.5754316626621,0.0,0.0,3.552713678800501e-15,0.0,0.0,793.9528530750191,491.1495221395679,0.0
39,9.75,0.0,53.0270069186911,0.0,270.0,694.3196577386062,262.99463263930147,0.0,235.34366354460767,135.0,80.0,1607.927746517083,0.0,0.0,1.0658141036401503e-14,0.0,0.0,756.7978329117961,473.2416035820602,0.0
40,10.0,0.0,310.2123211366482,0.0,270.0,750.751821632162,535.5551668410046,0.0,335.8182520883855,54.77378154760444,69.6,1626.2867009725082,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,740.9369496607594,472.8941563992108,0.0
41,10.25,0.0,315.55207980551677,0.0,270.0,781.9498543767178,452.340375217339,0.0,408.6969296523056,60.04735406179974,69.6,1591.87144277617,0.0,0.0,-7.105427357601002e-15,0.0,0.0,736.7511138258584,472.5469643070887,0.0
42,10.5,0.0,303.66039533725433,0.0,270.0,746.0710322120531,504.07436908931015,0.0,299.30939700856914,35.059643267124244,69.6,1540.4540462398022,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,726.1426165995605,472.20002711841,0.0
43,10.75,0.0,118.65354631803274,0.0,270.0,814.9477295477927,402.9906762744161,0.0,189.25200557485093,0.5537665704277117,69.6,1548.6906316494546,0.0,0.0,-7.105427357601002e-15,0.0,0.0,724.6831683457773,471.8533446460283,0.0
44,11.0,0.0,306.33875337536097,0.0,270.0,822.3247077049783,613.9006652932819,0.0,202.53858587346105,0.0,69.60000000000002,1527.846886673064,0.0,0.0,-3.552713678800501e-14,0.0,0.0,738.532799892223,471.5069167029345,0.0
45,11.25,0.0,164.67208717675157,0.0,270.0,796.9390061363923,547.2644284343485,0.0,132.60687834961232,0.0,59.19235885947683,1519.1261504762322,0.0,0.0,2.1316282072803006e-14,0.0,0.0,747.1668155995083,473.950283733469,0.0
46,11.5,0.0,446.61616487743197,0.0,270.0,821.2415375031503,514.0627186112549,0.0,473.4762275591069,23.50297019613462,80.0,1491.670612125385,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,778.3358266105089,470.8148236572609,0.0
