time_step,time_hours,net_import,net_export,thermal_total,nuclear_total,solar_total,wind_total,hydro_release_total,hydro_ror_total,battery_discharge_total,pumped_discharge_total,demand_total,demand_response_total,unserved_total,solar_spill_total,wind_spill_total,overgen_spill_total,battery_soc_total,pumped_level_total,hydro_spill_total
0,0.0,0.0,0.0,0.0,1755.0,271.41877844315593,5139.832719817773,284.3194026059984,1730.0272420950612,989.3518096933594,748.6146282958747,10654.71364503942,697.3854746563732,0.0,-2.5229818234606682e-14,0.0,0.0,2242.1118514899667,3846.0811058149457,0.0
1,0.25,0.0,0.0,0.0,1755.0,275.02233821729055,5119.4352373438605,321.1653142416478,1939.4991686081626,782.653205965899,726.0558526652933,10669.266651226924,636.4782934285988,0.0,2.2301605007157832e-14,0.0,0.0,2228.888395357663,3649.424920079966,1189.2629098065333
2,0.5,0.0,0.0,0.0,1755.0,238.92309548545316,4811.609622930045,413.7043102546186,1988.5622879048105,832.3259984279371,560.0,10781.334700242702,959.2026926654504,0.0,-7.938094626069869e-14,0.0,0.0,2177.314350545417,3497.3813370423554,1189.2629098065333
3,0.75,0.0,0.0,0.0,1755.0,245.50389025672246,4763.032500313125,485.590455331576,1679.6248842946388,740.7793446109521,800.0,10908.836210871375,1204.3051360643603,0.0,-9.797718192317006e-15,0.0,0.0,2147.6738691485357,3281.0921529942016,0.0
4,1.0,0.0,0.0,0.0,1755.0,356.42618013114355,5254.275898488497,240.85737800744909,2056.2677530618753,300.9889710766019,675.8539986567657,10933.55406745939,1116.6136834125482,0.0,-8.060219158778636e-14,0.0,0.0,2249.673037358528,3099.106335850458,0.0
5,1.25,0.0,118.22609753239053,0.0,1755.0,374.2163277502972,5471.752743922511,167.06412355243938,2655.4379180160745,374.00817814484583,619.8714729804664,10856.318204735891,300.2445019941672,0.0,-2.3266111259800937e-14,0.0,0.0,2314.157951625762,2931.309238291472,0.0
6,1.5,0.0,75.24439456750807,0.0,1755.0,470.70728111931186,5548.954218731303,68.09831367103767,2170.4586203378644,381.60781027565724,643.2924171694797,11122.006079142682,1051.7076219893436,0.0,5.329070518200751e-15,0.0,0.0,2381.4868112345066,2787.0729264135575,1189.2629098065338
7,1.75,0.0,112.95366643110219,0.0,1755.0,506.1617532430506,5660.463531789078,135.41867997184028,2535.894812381799,669.4211065840663,560.0,11169.442723084607,739.6434912829221,0.0,2.2160189172627933,0.0,0.0,2417.8019988501537,2707.8471558181523,1189.2629098065338
8,2.0,0.0,113.04200990961434,0.0,1755.0,599.5761094578835,5824.323941855639,151.05068047713849,2535.609922806282,684.8578780894694,560.5422066037219,11407.840027612314,673.5869887577925,0.0,1.509903313490213e-14,0.0,0.0,2398.4368308451426,2676.76513193731,1189.2629098065338
9,2.25,0.0,140.2794182839785,0.0,1755.0,725.0375874442025,5200.896506699133,173.40848333495302,2117.6397448413386,657.2465751261316,748.846363267862,11455.558032550436,1121.903248411116,0.0,-4.39648317751562e-14,0.0,0.0,2390.189752475634,2507.7652775222473,0.0
10,2.5,0.0,0.0,0.0,1755.0,715.6195821530068,5403.636688458023,200.49420130705556,1686.3790265105467,891.5161289645664,640.0805357364748,11567.58712483276,1340.0689410297337,0.0,-6.616929226765933e-14,0.0,0.0,2303.0574812868704,2421.1686378341005,0.0
11,2.75,0.0,0.0,0.0,1755.0,792.3906574685118,5486.57260515887,290.27133421069277,1760.1650275100294,677.7736257585685,746.9361066638008,11657.910525902711,1312.240554966769,0.0,4.3298697960381105e-14,0.0,0.0,2310.936057324676,2291.599759826922,0.0
12,3.0,0.0,187.48730571562587,0.0,1755.0,911.522234043013,5398.802086985802,369.94131082657935,2020.3616523850983,890.3581942077975,593.8710220705238,11840.753858893808,1278.0043157839914,0.0,1.3211653993039363e-14,0.0,0.0,2250.5142586270126,2220.0317587582613,0.0
13,3.25,0.0,110.54884345854396,0.0,1755.0,1026.2762949007877,5230.806659721801,146.98975109057596,2928.5098637112696,800.2118064284174,571.3165880386422,11599.689444630654,643.3830030296181,0.0,0.0,0.0,0.0,2220.1047303957853,2196.301236571571,0.0
14,3.5,0.0,0.0,0.0,1755.0,1019.4732986810197,5510.239280283957,154.94801184216553,2365.58924988032,859.3974363430905,648.3270332648873,11797.562799700423,762.2058347153925,0.0,1.1368683772161603e-13,0.0,0.0,2158.2207143423,2140.893514779514,1189.262909806533
15,3.75,0.0,39.54651175588491,0.0,1755.0,1044.6413598881418,5653.736143851265,86.60646742692249,3313.158909294922,598.2047360510803,694.327330033565,11925.91484489269,268.16961843468835,0.0,-4.085620730620576e-14,0.0,0.0,2195.718328461339,2084.234891891333,0.0
16,4.0,0.0,92.88755179131473,0.0,1755.0,1161.743397641836,5677.221278630243,171.48878273490965,2249.390076801661,1043.4827798028966,560.0,12046.853912908135,685.9207385354221,0.0,7.549516567451064e-14,0.0,0.0,2080.5606842636666,2029.6829638289573,0.0
17,4.25,0.0,80.81167365896124,0.0,1755.0,1225.28952473975,4970.828530019877,369.13339842566336,2597.8338132705358,876.4331443390846,584.8773391688019,12417.493089631957,1251.4664907953447,0.0,-1.687538997430238e-14,0.0,0.0,2005.9229869405822,1966.1220783474753,1170.8280181091318
18,4.5,0.0,43.8279282136273,0.0,1755.0,1399.6413209346465,6050.573607648635,222.2549096182702,2073.087908447293,788.2362988160141,560.0,12412.698203260537,1019.8876835087881,0.0,2.531308496145357e-14,0.0,0.0,1995.995248980549,1933.3920385359313,1189.2629098065331
19,4.75,0.0,119.3729341244661,0.0,1755.0,1551.2579750211162,5710.310083269798,147.84622749051698,2685.717958779826,875.2809782411647,627.9441401198076,12853.431097422043,984.1557560123617,0.0,3.108624468950438e-14,0.0,0.0,1949.7699077536345,1884.2820077867857,0.0
20,5.0,0.0,0.0,0.0,1755.0,1593.4897912637941,5428.748621562488,123.30086060633248,2951.585883883588,817.1147983875757,606.8003905806437,12624.108509262885,585.9282022008734,0.0,5.240252676230739e-14,0.0,0.0,1902.733300275283,1828.1518358381395,0.0
21,5.25,0.0,0.0,0.0,1755.0,1840.6807667377172,5184.094643423556,204.60184339953724,2158.667422567896,927.1206377957578,728.5400850911349,12727.134405578416,1048.2553719802297,0.0,-2.842170943040401e-14,0.0,0.0,1823.2909227422622,1714.6468469079734,0.0
22,5.5,0.0,42.59699731446196,0.0,1755.0,1873.5767702941632,5423.790061746207,240.67742118536628,2192.7024150684965,960.6913503559019,792.8642093273058,12915.652950124777,970.3352209797338,0.0,-5.684341886080802e-14,0.0,0.0,1763.8945952623194,1585.382929731322,0.0
23,5.75,0.0,99.93540694319526,0.0,1755.0,2081.7739184197553,5012.279148714234,152.49247526019306,2789.324631835139,893.9107745169736,584.6800566379144,12853.049385871213,808.2441171818182,0.0,7.105427357601002e-15,0.0,0.0,1693.7952325119236,1511.7072466717657,0.0
24,6.0,0.0,39.201225507088125,0.0,1755.0,2200.6329246230266,4349.529957084061,212.52950693001398,2263.1085854867265,962.2033370141419,800.0,12939.165925658563,1343.8515330063742,0.0,-1.0658141036401503e-14,0.0,0.0,1604.5753210666376,1330.7383793395998,0.0
25,6.25,0.0,132.08774978233876,0.0,1755.0,2357.5858517762276,4863.716498797588,120.65915425861446,2176.875954480796,1011.6758849553731,669.8012650963036,12950.480482179111,1224.2559087955274,0.0,-3.907985046680551e-14,0.0,0.0,1502.9664835169406,1227.9203130403316,0.0
26,6.5,0.0,210.75939419202626,0.0,1755.0,2452.250502176235,4612.086664626292,163.82721959656863,3780.0,718.3127865945368,573.2903579453728,13252.166122584948,801.0201334843075,0.0,29.902343430039792,0.0,0.0,1496.7459773516073,1204.190290230669,0.0
27,6.75,0.0,256.50469090027093,0.0,1755.0,2673.501177333046,4234.444186212998,274.04882362411126,2784.5624933854483,858.3105485787522,800.0,13093.642278815343,1286.482075707399,0.0,8.881784197001252e-14,0.0,0.0,1452.4376031477261,1102.0083081235073,0.0
28,7.0,0.0,102.95463469922052,0.0,1755.0,2920.8254340398466,3808.5742595340676,64.80214967202994,2757.62132138412,819.6975424260932,800.0,13013.102193314942,1187.2492879709598,0.0,-5.329070518200751e-15,0.0,0.0,1403.219817099502,941.2627180261716,0.0
29,7.25,0.0,0.0,0.0,1755.0,3144.26943003439,3875.420795159159,269.399799907834,2328.1336985509643,891.2148088757858,695.2967887780808,13036.86232689552,1184.1889339479667,0.0,3.552713678800501e-14,0.0,0.0,1334.748430995022,833.9315790522018,0.0
30,7.5,0.0,0.0,0.0,1755.0,3381.285474110135,4147.814386139444,165.23593074146106,2943.9075141643357,715.5633862534124,613.2745016883696,13123.192617183478,770.8450607574748,0.0,-6.039613253960852e-14,0.0,0.0,1324.3559681732247,799.6949666478372,0.0
