time_step,time_hours,net_import,net_export,thermal_total,nuclear_total,solar_total,wind_total,hydro_release_total,hydro_ror_total,battery_discharge_total,pumped_discharge_total,demand_total,demand_response_total,unserved_total,solar_spill_total,wind_spill_total,overgen_spill_total,battery_soc_total,pumped_level_total,hydro_spill_total
0,0.0,0.0,411.83102282548225,0.0,810.0,201.40665903806473,9148.90653499442,0.0,3475.605354200383,3583.034598969958,880.0,14026.30841298467,17.28461841618182,0.0,2.327782064326378e-14,0.0,0.0,14364.423122389675,2724.3045213387504,0.0
1,0.25,0.0,431.0402882475656,0.0,810.0,258.8070804896205,8434.12027054161,0.0,4235.285794201958,3907.775470263127,880.0,14251.659997952731,0.0,0.0,1.1601830607332886e-14,0.0,0.0,14105.78236502349,2487.514036891139,0.0
2,0.5,0.0,538.9261473610004,0.0,810.0,315.94633001291305,9190.903757377238,0.0,4174.843057355141,3007.0882780748625,880.0,14075.857006538654,72.22525343555682,0.0,2.0539125955565396e-15,0.0,0.0,14099.088495605707,2250.8040145547784,726.1212189990072
3,0.75,0.0,555.6522183019845,0.0,810.0,371.60068843449625,8825.281910343483,0.0,4440.89182299279,3213.363823673634,880.0,14193.306457136374,41.52596986710752,0.0,-2.992397996059992e-14,0.0,0.0,14033.838940854333,2014.1744269884061,726.1212189990072
4,1.0,0.0,533.0011932525058,0.0,810.0,454.7603410572303,9236.119774111492,0.0,3684.09530513006,3689.090776816107,880.0,14389.577652410373,0.0,0.0,4.413136522884997e-14,0.0,0.0,13834.390686348888,1777.6252468600483,1452.2424379980139
5,1.25,0.0,457.594047306132,0.0,810.0,467.8887987251619,8906.709065016832,0.0,3711.4337650762304,4098.065971622568,880.0,14623.976626671394,0.0,0.0,1.7569279364693102e-14,0.0,0.0,13511.47831891543,1541.1564468470176,0.0
6,1.5,0.0,365.17341511926384,0.0,810.0,605.3125476229428,9256.906019827815,0.0,4223.581291094969,3238.56447840146,880.0,14560.933967981524,0.0,0.0,-9.159339953157541e-14,0.0,0.0,13479.54452748853,1322.343025046343,726.1212189990069
7,1.75,0.0,490.4098899131956,0.0,810.0,644.1805352274231,9060.846672516955,0.0,5424.407183492257,2668.660485453136,880.0,14647.15163273727,25.976910725282323,0.0,1.2087553180606392e-14,0.0,0.0,13564.04969515687,1216.8165556458919,2178.363656997021
8,2.0,0.0,309.0837683194148,0.0,810.0,811.9646623014603,9327.191168648926,0.0,3592.187558031544,4022.8187205941035,880.0,14778.609792191128,0.0,0.0,-2.1260770921571748e-14,0.0,0.0,13298.923208347547,1073.8926752921748,0.0
9,2.25,0.0,536.8608782278627,0.0,810.0,906.3484372983743,9310.333337350834,0.0,5414.046368510395,3215.257074731858,808.6971741318365,15108.491168673509,0.0,0.0,2.5569824035898137e-14,0.0,0.0,13275.183379617043,1043.3217501085505,726.1212189990069
10,2.5,0.0,208.41004548659222,0.0,810.0,1140.993653737206,9206.996772140932,0.0,2612.6775767898616,4313.49255776271,800.0,15052.872805839686,173.00461252239714,158.0744061020828,-6.139533326177116e-14,0.0,0.0,12847.616875723563,913.0048130685551,0.0
11,2.75,0.0,341.2933036952171,0.0,810.0,1237.534919776145,9360.82371371501,0.0,4166.062561172585,4006.5211346473016,800.0,15377.532665903438,0.0,0.0,-1.0835776720341528e-13,0.0,0.0,12573.324224479182,878.0585291065933,726.1212189990069
12,3.0,0.0,396.5118716912492,0.0,810.0,1408.216228690989,9736.449366031347,0.0,3800.9614093090777,3707.0853023753866,800.0,15114.48125904088,0.0,0.0,-1.709743457922741e-14,0.0,0.0,12396.96971910872,849.8852362997056,726.1212189990069
13,3.25,0.0,391.8904069105558,0.0,810.0,1578.2074625551163,9125.68486968628,0.0,4920.15886526126,3249.659788664412,800.0,15469.290136231039,47.469556974525084,0.0,6.483702463810914e-14,0.0,0.0,12331.247500619844,821.7215168615517,0.0
14,3.5,0.0,293.1049754349076,0.0,810.0,1673.7377727420048,9536.938070193879,0.0,4985.338690229717,2998.3583264089266,800.0,15619.166619405478,0.0,0.0,-7.771561172376096e-16,0.0,0.0,12385.619424787508,793.5673675390719,0.0
15,3.75,0.0,334.0171324720984,0.0,810.0,1770.2199936391266,9042.03501593103,0.0,5034.400425345615,3491.5247711187894,800.0,15828.65374145764,0.0,0.0,-4.618527782440651e-14,0.0,0.0,12277.572608008973,765.4227850803127,726.1212189990069
16,4.0,0.0,523.0192773738526,0.0,810.0,1953.226753517382,9803.668964730576,0.0,5940.068139774275,2478.8136578128892,800.0,15916.816925474635,0.0,0.0,-7.72715225139109e-14,0.0,0.0,12578.962662323698,737.2877662344252,0.0
17,4.25,0.0,444.52846969641644,0.0,810.0,2109.946545009863,8995.48834961209,0.0,5257.528508180496,3349.4773877500643,800.0,15922.000214263991,0.0,0.0,-3.019806626980426e-14,0.0,0.0,12548.544244566829,709.1623077516654,726.1212189990069
18,4.5,0.0,452.38002794477734,0.0,810.0,2357.087645425343,9059.049137554493,0.0,5861.281647169077,2759.38266777224,800.0,16135.915843506955,0.0,0.0,-3.375077994860476e-14,0.0,0.0,12706.887540125726,681.0464063833933,0.0
19,4.75,0.0,473.8247952302382,0.0,810.0,2594.8860946687105,9224.310219258698,0.0,3627.3674634120434,4671.879048325544,800.0,16338.414814365877,0.0,0.0,-2.042810365310288e-14,0.0,0.0,12404.510714618229,538.7568180406447,0.0
20,5.0,0.0,522.8891698826263,0.0,810.0,2752.1285957677387,9105.842525905542,0.0,5373.800633761104,3143.483389708745,800.0,16098.77186131356,0.0,0.0,-7.283063041541027e-14,0.0,0.0,12522.801885784489,510.69882096486674,0.0
21,5.25,0.0,455.64200225653263,0.0,810.0,2833.1482048659636,8752.6853775939,0.0,5831.831080196367,3222.043107054404,800.0,16440.96078612825,0.0,0.0,1.3145040611561853e-13,0.0,0.0,12616.555656084078,482.65035807998976,726.1212189990069
22,5.5,0.0,302.1578428274146,0.0,810.0,3047.592605301036,8222.078530600786,0.0,5675.383948135871,3685.1633772637283,800.0,16671.27452456635,0.0,0.0,4.263256414560601e-14,0.0,0.0,12560.806896642927,454.6114261462672,0.0
23,5.75,0.0,533.0026962337697,0.0,810.0,3284.5075512357016,8560.127272525839,0.0,6878.616860352964,2398.517495210107,800.0,16781.904423986845,0.0,0.0,8.881784197001252e-15,0.0,0.0,12900.261689712612,426.58202192505365,726.1212189990069
24,6.0,0.0,456.1002758795079,0.0,810.0,3452.8397317125023,7822.538490721793,0.0,6482.881535460963,3514.565806247603,800.0,17043.12957805565,0.0,0.0,35.00196559934419,0.0,0.0,12918.168748707662,398.562142178804,0.0
