time_step,time_hours,net_import,net_export,thermal_total,nuclear_total,solar_total,wind_total,hydro_release_total,hydro_ror_total,battery_discharge_total,pumped_discharge_total,demand_total,demand_response_total,unserved_total,solar_spill_total,wind_spill_total,overgen_spill_total,battery_soc_total,pumped_level_total,hydro_spill_total
0,0.0,0.0,404.50135705569426,0.0,0.0,51.00213437809522,1563.5413413946223,64.4616534236527,420.46975200620705,641.037330432493,160.0,2456.2748781819996,0.0,0.0,-1.021405182655144e-14,0.0,0.0,992.3817566590903,566.5380033082915,0.0
1,0.25,0.0,566.6327722101805,0.0,0.0,99.02476494838174,2244.6035569159976,46.66306290756545,221.14011506551788,685.003783499676,160.0,2628.7745965816584,0.0,0.0,3.1363800445660672e-15,0.0,0.0,864.4536715548705,523.2444271369468,0.0
2,0.5,0.0,397.41965175953754,0.0,0.0,138.9759355578558,1660.5794654977894,20.942108706240816,695.8584923746345,768.9638342676828,160.0,2598.219734790305,0.0,0.0,2.1760371282653068e-14,0.0,0.0,746.5656541435284,490.40089885309567,192.84320281787132
3,0.75,0.0,512.1069362490788,0.0,0.0,132.13621305053547,1958.0540930241425,17.56480142202838,893.0721770188858,517.5051556950605,55.91113982483657,2497.1366437864103,0.0,0.0,-8.409939411535561e-15,0.0,0.0,697.4459568898435,512.3705574310975,0.0
4,1.0,0.0,658.4989223282813,0.0,0.0,149.18117600732086,1926.074862826391,215.78556515087342,649.2561998339961,632.6459741832849,160.0,2640.445043310047,0.0,0.0,4.413136522884997e-15,0.0,0.0,616.8830669646983,475.8783994984949,0.0
5,1.25,0.0,407.77118074634916,0.0,0.0,179.54415602188067,1910.9679006806007,0.0,632.6882040931717,637.3055127069879,160.0,2563.532095448619,0.0,0.0,-3.2862601528904634e-14,0.0,0.0,535.0822101837764,466.27606887599876,0.0
6,1.5,0.0,453.55749909380285,0.0,0.0,275.04608600969357,1853.019076720086,0.0,876.1635336545803,528.0831841816162,140.16896520862684,2638.2338770803653,0.0,0.0,1.199040866595169e-14,0.0,0.0,486.7529799027171,465.67967935548313,0.0
7,1.75,0.0,512.7245490383667,0.0,0.0,234.70410476547858,2023.2124875783,0.0,885.3503919345643,489.7472016362594,129.68600177579754,2692.141332275447,0.0,0.0,-2.5451862839531714e-14,0.0,0.0,445.3327665282359,466.22252107389875,0.0
8,2.0,0.0,502.3237101967926,0.0,0.0,244.6515675801231,1998.6853752250333,0.0,1092.7922082087316,336.7944412744113,98.39680171615666,2703.9966838076634,0.0,0.0,-2.042810365310288e-14,0.0,0.0,445.72841866380384,476.82228524003466,0.0
9,2.25,0.0,431.84561631504715,0.0,0.0,317.5134672818507,1634.995345295269,0.0,557.8262232408333,800.9948240864769,160.0,2675.818322347218,0.0,0.0,-2.0872192862952943e-14,0.0,0.0,309.8174693646769,433.59348925505446,0.0
10,2.5,0.0,490.0081594048928,0.0,0.0,330.2833592194207,1999.0638242039295,0.0,544.8353176531416,895.0185011371516,160.0,2755.9775976314772,0.0,0.0,2.3092638912203256e-14,0.0,0.0,204.0366985548374,408.05429834712345,192.84320281787132
