time_step,time_hours,net_import,net_export,thermal_total,nuclear_total,solar_total,wind_total,hydro_release_total,hydro_ror_total,battery_discharge_total,pumped_discharge_total,demand_total,demand_response_total,unserved_total,solar_spill_total,wind_spill_total,overgen_spill_total,battery_soc_total,pumped_level_total,hydro_spill_total
0,0.0,0.0,208.7864358092042,0.0,1620.0,165.99535003970524,6545.311666684698,0.0,2941.708503200556,1851.0901411001666,1280.0,9030.843900164873,0.0,0.0,7.494005416219807e-15,0.0,0.0,8729.234849133576,5445.911117763236,1058.9819863398213
1,0.25,0.0,492.3234786518754,0.0,1620.0,190.70476627283108,6932.049866614649,220.0,4113.964172948851,891.3956001539404,941.2563827036192,9128.993471907583,0.0,0.0,2.2870594307278225e-14,0.0,0.0,9409.409197948415,5489.343647812205,0.0
2,0.5,0.0,178.96700212006698,0.0,1620.0,185.8631242031298,7365.73572492657,0.0,2869.6359704067004,1367.4701556303075,1228.8533533379564,9078.08213740794,0.0,0.0,4.403422071419527e-14,0.0,0.0,9982.436850785301,5455.670083603352,0.0
3,0.75,0.0,364.6369308126587,0.0,1620.0,220.85390552215338,7223.731536081201,0.0,2276.7153806988135,2153.8624549715164,1280.0,9125.635273238746,0.0,0.0,8.387041061652667e-14,0.0,0.0,10321.601888457193,5408.279447471709,1058.9819863398209
4,1.0,0.0,554.7137807393474,0.0,1620.0,229.3412141321276,7335.949726903309,220.0,2660.639546976955,1807.2253035696576,1239.2188493639128,9346.909547351603,0.0,0.0,-4.9960036108132044e-15,0.0,0.0,10744.03495963521,5363.323893396693,0.0
5,1.25,0.0,434.8093543732773,0.0,1620.0,282.8420742223933,7062.205396572735,0.0,2372.247169898547,2337.7969877207274,1167.9878853024486,9269.976377106588,0.0,0.0,1.0547118733938987e-15,0.0,0.0,11009.742940143155,5334.482983828371,0.0
6,1.5,0.0,498.16628601688063,0.0,1620.0,358.1582457159184,6722.964139166435,0.0,3250.9099321706144,1916.4151787888284,1183.205493208321,9380.457161569197,0.0,0.0,1.482147737874584e-14,0.0,0.0,11386.50190819828,5310.823363207664,1058.9819863398207
7,1.75,0.0,425.31628909186026,0.0,1620.0,374.36295300411757,6825.473607149076,0.0,2827.215870769625,2285.3310644082835,1202.1373111052267,9514.20451734447,0.0,0.0,-1.2101430968414206e-14,0.0,0.0,11666.62770791308,5284.400937796391,1058.9819863398207
8,2.0,0.0,511.84857244594065,0.0,1620.0,471.6089690163555,7518.515520788169,0.0,2782.6692958218373,2050.7339387256657,913.8583300252624,9650.53748193135,0.0,0.0,-3.8316572137375715e-14,0.0,0.0,12008.950680204845,5335.258782596034,0.0
9,2.25,0.0,465.2967846039257,0.0,1620.0,660.2300440908091,7464.918716993317,0.0,3933.0986151088937,1476.2902569614594,148.58124637725876,9640.711871993271,0.0,0.0,-5.6621374255882984e-14,0.0,0.0,12504.760360887072,5591.206637215679,1058.9819863398207
