step,epoch,loss
25.0,1.0,9842.225048828124
50.0,1.0,5169.675693359375
75.0,1.0,3890.38814453125
100.0,1.0,4314.3304833984375
125.0,1.0,3251.74798828125
150.0,1.0,3040.4225244140625
175.0,1.0,4181.055673828125
200.0,1.0,3631.632802734375
225.0,1.0,3556.8224609375
250.0,1.0,3457.128330078125
275.0,1.0,2440.544140625
300.0,1.0,2905.3113134765626
325.0,1.0,2495.7431640625
350.0,1.0,2500.573974609375
375.0,1.0,2000.5654150390626
400.0,1.0,1699.0652294921874
425.0,1.0,2149.50599609375
450.0,1.0,2240.4251708984375
475.0,1.0,3105.1412109375
500.0,1.0,1993.55349609375
525.0,1.0,2516.3544091796875
550.0,1.0,2245.5624951171876
575.0,1.0,2408.293203125
600.0,1.0,1969.28966796875
625.0,1.0,2189.972666015625
650.0,1.0,1748.930732421875
675.0,1.0,1865.4349609375
700.0,1.0,2262.741015625
725.0,1.0,2364.0250732421873
750.0,1.0,2324.29548828125
775.0,1.0,2760.582421875
800.0,1.0,1948.143125
825.0,1.0,1771.64236328125
850.0,1.0,1861.9701416015625
875.0,1.0,1716.3968701171875
900.0,1.0,1964.185283203125
925.0,1.0,2375.4072705078124
950.0,1.0,1997.556865234375
975.0,1.0,1871.077607421875
1000.0,1.0,2088.0507080078123
1025.0,1.0,1785.66283203125
1050.0,1.0,1979.27728515625
1075.0,1.0,2065.238984375
1100.0,1.0,1767.573310546875
1125.0,1.0,1489.7971728515624
1150.0,1.0,2228.67109375
1175.0,1.0,1931.8918017578126
1200.0,1.0,1897.3446435546875
1225.0,1.0,1658.516337890625
1250.0,1.0,2272.052216796875
1275.0,1.0,1566.0633935546875
1300.0,1.0,1816.607001953125
1325.0,1.0,1931.9180712890625
1350.0,1.0,1689.5365649414061
1375.0,1.0,1783.1825390625
1400.0,1.0,1884.1689990234374
1425.0,1.0,1356.8085546875
1450.0,1.0,1454.06908203125
1475.0,1.0,1652.4988330078124
1500.0,1.0,1455.0136083984376
1525.0,1.0,1626.7168115234374
1550.0,1.0,1241.292734375
1575.0,1.0,1100.0439135742188
1600.0,1.0,1341.1643383789062
1625.0,1.0,1889.7374609375
1650.0,1.0,1344.6224731445313
1675.0,1.0,2553.7430859375
1700.0,1.0,1692.1369677734374
1725.0,1.0,1182.8702319335937
1750.0,1.0,1542.0955590820313
1775.0,1.0,1985.474267578125
1800.0,1.0,1237.609541015625
1825.0,1.0,1355.0466088867188
1850.0,1.0,1449.6635473632812
1875.0,1.0,2140.4150732421876
1900.0,1.0,1503.6977392578126
1925.0,1.0,1303.8446069335937
1950.0,1.0,1462.394521484375
1975.0,1.0,1253.5825219726562
2000.0,1.0,1453.9181689453126
2025.0,1.0,1367.868251953125
2050.0,1.0,1468.94671875
2075.0,1.0,1263.513134765625
2100.0,1.0,1359.473837890625
2125.0,1.0,1240.6502099609374
2150.0,1.0,1729.8305322265626
2175.0,1.0,1385.900283203125
2200.0,1.0,1481.4156103515625
2225.0,1.0,1456.7229443359374
2250.0,1.0,1066.8061499023438
2275.0,1.0,1369.0840869140625
2300.0,1.0,1132.7402709960938
2325.0,1.0,1198.1445141601562
2350.0,1.0,1141.2444482421874
2375.0,1.0,1052.6165698242187
2400.0,1.0,1240.626201171875
2425.0,1.0,2221.46353515625
2450.0,1.0,2041.0779345703124
2475.0,1.0,1375.5089819335938
2500.0,1.0,1400.3342626953124
2525.0,1.0,1491.4328833007812
2550.0,1.0,977.7417919921875
2575.0,1.0,1541.8754858398438
2600.0,1.0,1696.8321142578125
2625.0,1.0,1206.123857421875
2650.0,1.0,1414.2474951171876
2675.0,1.0,1534.6276953125
2700.0,1.0,1465.2884326171875
2725.0,1.0,1194.6154711914062
2750.0,1.0,1433.23578125
2775.0,1.0,1547.0310595703124
2800.0,1.0,1828.4494213867188
2825.0,1.0,1528.4133764648439
2850.0,1.0,1201.2208032226563
2875.0,1.0,1881.2124267578124
2900.0,1.0,1534.63818359375
2925.0,1.0,1334.1654296875
2950.0,1.0,1659.1341259765625
2975.0,1.0,1373.7184033203125
3000.0,1.0,1193.504111328125
3025.0,1.0,1728.64947265625
3050.0,1.0,1517.222255859375
3075.0,1.0,1273.8534375
3100.0,1.0,1605.215830078125
3125.0,1.0,1295.7047827148438
3150.0,1.0,1124.4613134765625
3175.0,1.0,1269.613583984375
3200.0,1.0,1051.8113842773437
3225.0,1.0,1019.7988720703125
3250.0,1.0,1302.24064453125
3275.0,1.0,1521.0046899414062
3300.0,1.0,1194.4276196289063
3325.0,1.0,991.1843896484374
3350.0,1.0,1227.9733569335938
3375.0,1.0,1481.5062646484375
3400.0,1.0,1233.5965502929687
3425.0,1.0,1023.8316918945312
3450.0,1.0,1331.512724609375
3475.0,1.0,1513.2279345703125
3500.0,1.0,1152.6723095703126
3525.0,1.0,1329.8605297851564
3550.0,1.0,1544.8505786132812
3575.0,1.0,1173.537021484375
3600.0,1.0,1187.0517358398438
3625.0,1.0,1227.2061376953125
3650.0,1.0,1290.9295092773436
3675.0,1.0,1172.3112231445311
3700.0,1.0,1464.2403491210937
3725.0,1.0,1357.2463696289062
3750.0,1.0,1896.921474609375
3775.0,1.0,1436.0675537109375
3800.0,1.0,1277.0274951171875
3825.0,1.0,1671.957119140625
3850.0,1.0,892.6029077148437
3875.0,1.0,642.016123046875
3900.0,1.0,1575.4194482421874
3925.0,1.0,943.9818981933594
3950.0,1.0,1176.5544946289062
3975.0,1.0,1214.581103515625
4000.0,1.0,814.3325842285157
4025.0,1.0,1511.991533203125
4050.0,1.0,1297.698349609375
4075.0,1.0,1757.6099365234375
4100.0,1.0,1588.0676538085938
4125.0,1.0,962.9155029296875
4150.0,1.0,1058.18345703125
4175.0,1.0,960.7621313476562
4200.0,1.0,1044.4160400390624
4225.0,2.0,1008.2869775390625
4250.0,2.0,1889.02669921875
4275.0,2.0,1513.5527465820312
4300.0,2.0,1259.7257788085938
4325.0,2.0,1145.6026806640625
4350.0,2.0,1065.8282055664063
4375.0,2.0,1601.9360290527343
4400.0,2.0,1565.05572265625
4425.0,2.0,2062.784514160156
4450.0,2.0,1191.8572607421875
4475.0,2.0,1119.73048828125
4500.0,2.0,1484.8464770507812
