epoch,is_best,train_loss,val_cost_gap,val_cost_gap_max_gap,val_cost_gap_mean_gap,val_cost_gap_median_gap,val_dispatch_error,val_dispatch_error_mae,val_dispatch_error_normalized_mae,val_dispatch_error_rmse,val_violation_rate,val_violation_rate_max_rate,val_violation_rate_mean_rate,val_weighted_score
1,True,1754.7801150512696,-0.9609387543174024,0.9690926004201174,-0.9609387543174024,-0.9618423345159842,11.727247126367358,11.727247126367358,0.08803850174866643,32.22502596113417,0.5167810312079059,0.6332895332409276,0.5167810312079059,0.3682626652621978
2,False,1187.9353447905041,-0.9586883670883253,0.9669414196577337,-0.9586883670883253,-0.9595790186369171,11.650936133066812,11.650936133066812,0.08685620287028308,32.56332867304484,0.531920584357447,0.6521037310527431,0.531920584357447,0.37431839096131103
3,True,1035.041574438186,-0.962799441323926,0.9708809882236852,-0.962799441323926,-0.9637000393163827,11.337231027815077,11.337231027815077,0.08523492283517911,31.507997578514946,0.4843300323271089,0.6020410505599446,0.4843300323271089,0.35258417395542224
4,False,929.680231708345,-0.9522380872443318,0.9607191641132037,-0.9522380872443318,-0.95309879940831,13.014284185303582,13.014284185303582,0.09623656303405845,34.419144780900744,0.6062778222229745,0.7182686415314674,0.6062778222229745,0.41135528209009803
5,False,861.937294195266,-0.94899451525261,0.9574437946163946,-0.94899451525261,-0.9497618774159087,13.572401934729681,13.572401934729681,0.09985748001909359,35.43983293745253,0.6397796541783545,0.7512221354908414,0.6397796541783545,0.4277361619141127
6,False,822.3898147982643,-0.9549472525343299,0.963339250948694,-0.9549472525343299,-0.9559182904577918,12.381804911295573,12.381804911295573,0.0918164640692252,33.469697914123536,0.5764870004521476,0.6940331519643466,0.5764870004521476,0.3962312842880508
7,False,770.0054635583787,-0.9530687814469759,0.9613562326133251,-0.9530687814469759,-0.9540581310157561,12.877868835661147,12.877868835661147,0.09503893333532754,34.30278481801351,0.5996331396036678,0.7171534161104096,0.5996331396036678,0.4079093109672455
8,False,749.3061170959472,-0.9600480454642739,0.9675735180079937,-0.9600480454642739,-0.9610368239413947,11.274908997747634,11.274908997747634,0.08387529464584521,31.889730489518907,0.5591903237832917,0.6816192802621258,0.5591903237832917,0.385384332839539
9,False,708.2216333044142,-0.9614501510974434,0.9688214120599958,-0.9614501510974434,-0.9624132696704732,11.044292531543308,11.044292531543308,0.08228338473156883,31.456575565338134,0.5042306390239133,0.6151861227883233,0.5042306390239133,0.36007632579971127
10,False,684.3007675170899,-0.9568394546873039,0.9645615036371682,-0.9568394546873039,-0.9577461282872698,11.823494458728366,11.823494458728366,0.08745349702790808,32.91013035244412,0.5533452440632715,0.663683350748486,0.5533452440632715,0.38404337895976115
11,False,674.0533634512765,-0.9597988647470872,0.9671210515167978,-0.9597988647470872,-0.9607078601668279,11.512771372265286,11.512771372265286,0.08573452761506703,31.994495544433594,0.5161079233719243,0.6255555151071813,0.5161079233719243,0.36680898941885487
12,False,655.3758305831183,-0.9589536149965392,0.9663677811457051,-0.9589536149965392,-0.9598259857710865,11.470027950604758,11.470027950604758,0.08467442114160274,32.25633956061469,0.5256070135368242,0.6357115837103791,0.5256070135368242,0.37052200710494604
13,True,648.281585093907,-0.9636003325714005,0.9707185875707203,-0.9636003325714005,-0.9646205426586999,10.55562845547994,10.55562845547994,0.07850713460043109,30.756814808315703,0.4895246931579378,0.6011725653045707,0.4895246931579378,0.351974355748406
14,True,628.5720719582694,-0.9645835533406999,0.9716842941939831,-0.9645835533406999,-0.9656173879404862,10.560637151400249,10.560637151400249,0.07890201493247477,30.69270440419515,0.47561771737204656,0.5853452107641433,0.47561771737204656,0.3459922348711046
15,False,622.5766436731247,-0.9617169788810942,0.9686245403852728,-0.9617169788810942,-0.9627035234868526,11.051542795499167,11.051542795499167,0.08211712626528482,31.5041188621521,0.5049643217192756,0.6141635712153382,0.5049643217192756,0.36035834948116163
16,True,619.9010918208531,-0.9660753197140164,0.9733675087160535,-0.9660753197140164,-0.9670762717889415,10.161879337098863,10.161879337098863,0.07600624559883956,30.25344681845771,0.47118431198100247,0.5848791491157479,0.47118431198100247,0.34284328288233057
