epoch,is_best,train_loss,val_cost_gap,val_cost_gap_max_gap,val_cost_gap_mean_gap,val_cost_gap_median_gap,val_dispatch_error,val_dispatch_error_mae,val_dispatch_error_normalized_mae,val_dispatch_error_rmse,val_violation_rate,val_violation_rate_max_rate,val_violation_rate_mean_rate,val_weighted_score
1,True,3065.510191417876,-0.9518010218938192,0.9585797637701035,-0.9518010218938192,-0.9523799667755762,18.86758057276408,18.86758057276408,0.11424443018909564,46.29237747192383,0.7348484843969345,0.8257575829823812,0.7348484843969345,0.4772719137530955
2,False,1326.0148220970518,-0.9557694147030512,0.9631789823373159,-0.9557694147030512,-0.9562271386384964,17.79717222849528,17.79717222849528,0.10763214218740262,44.00577259063721,0.7604166666666666,0.8181818177302679,0.7604166666666666,0.4861989054546363
3,True,1004.0339057559058,-0.9571550190448761,0.9643435130516688,-0.9571550190448761,-0.9579203277826309,17.641004880269367,17.641004880269367,0.10662124003444168,42.99522686004639,0.7017045468091965,0.8030303170283636,0.7017045468091965,0.4594621059841248
4,False,839.2793368384952,-0.9640298287073771,0.9732028643290201,-0.9640298287073771,-0.9650884419679642,15.680806557337442,15.680806557337442,0.09432481552659115,39.44550402959188,0.8229166716337204,0.8863636553287506,0.8229166716337204,0.5091616520928779
5,True,780.6641228085473,-0.96710733572642,0.9764963189760844,-0.96710733572642,-0.9678384959697723,15.202203830083212,15.202203830083212,0.09135664435314106,37.948989391326904,0.6979166716337204,0.8333333432674408,0.6979166716337204,0.45188372576672964
6,True,717.8373562040783,-0.9641211231549581,0.9725377211968104,-0.9641211231549581,-0.9651584227879842,15.413761456807455,15.413761456807455,0.09247434383501107,38.94961961110433,0.5852272709210714,0.6969697078069051,0.5852272709210714,0.401377838955733
7,True,686.6855116344634,-0.9681645433108012,0.977388267715772,-0.9681645433108012,-0.9687884946664175,14.040023724238077,14.040023724238077,0.08428114327431883,36.895397663116455,0.5473484769463539,0.7121212209264437,0.5473484769463539,0.38104978343038287
8,False,653.0906190418061,-0.9683174838622411,0.9768099884192148,-0.9683174838622411,-0.9692043463389078,14.2112824122111,14.2112824122111,0.08540996387173605,37.08681011199951,0.6789772659540176,0.7954545567433039,0.6789772659540176,0.44080600180781326
9,False,680.9881428309849,-0.9643113116423289,0.9725782374540964,-0.9643113116423289,-0.9653929273287455,15.0299813747406,15.0299813747406,0.09022051221162036,38.74002265930176,0.9479166716337204,1.0,0.9479166716337204,0.5635928638946363
10,True,618.9912251063755,-0.9697767545779546,0.9779973526795706,-0.9697767545779546,-0.9707291076580683,13.932348489761353,13.932348489761353,0.08370649948422974,36.11607281366984,0.4687500074505806,0.6060606141885122,0.4687500074505806,0.3455831035784601
11,False,610.635132925851,-0.9709467887878418,0.9794203738371531,-0.9709467887878418,-0.9718678792317709,13.13752849896749,13.13752849896749,0.07897104746199217,35.332721869150795,0.6865530287226042,0.7954545641938845,0.6865530287226042,0.44158051316185254
12,False,603.7959794544038,-0.9653780659039816,0.9740143318970998,-0.9653780659039816,-0.9659771472215652,14.991806825002035,14.991806825002035,0.09018192398176195,38.56508080164591,0.6751893957455953,0.8181818375984827,0.6751893957455953,0.44095490046770897
13,False,610.8940091814313,-0.9632962892452875,0.9715459048748016,-0.9632962892452875,-0.964574952920278,15.306403239568075,15.306403239568075,0.09186999725843059,39.40557034810384,0.5984848563869795,0.7348484918475151,0.5984848563869795,0.40698931306496333
14,False,607.0642177036831,-0.9654213786125183,0.9733476291100184,-0.9654213786125183,-0.9666070193052292,14.776773452758789,14.776773452758789,0.0887498466217852,38.343166987101235,0.735795463124911,0.8636363794406255,0.735795463124911,0.4675875272472651
15,True,560.2579712640671,-0.9720319906870524,0.9796574761470159,-0.9720319906870524,-0.9732056359450022,13.041101296742758,13.041101296742758,0.07841976325352994,35.263162771860756,0.44034091010689735,0.5909090961019198,0.44034091010689735,0.33064550208089755
16,False,564.5126230149042,-0.9714528272549311,0.9791002571582794,-0.9714528272549311,-0.9726391633351644,13.142298221588135,13.142298221588135,0.07903036763320077,35.24143409729004,0.6590909038980802,0.7651515255371729,0.6590909038980802,0.42929985491456957
17,False,569.9313369024368,-0.9697869370381037,0.9773024320602417,-0.9697869370381037,-0.9712410867214203,13.557714144388834,13.557714144388834,0.08157925059488802,36.234511852264404,0.5435606117049853,0.6590909163157145,0.5435606117049853,0.37829163173875335
18,False,534.5704621814546,-0.9716084947188696,0.9791852335135142,-0.9716084947188696,-0.9727186759312948,12.978000481923422,12.978000481923422,0.07810995931687571,35.13484636942545,0.44507575159271556,0.5757575829823812,0.44507575159271556,0.33259441938120304
19,False,560.2096230643136,-0.9698018133640289,0.9774257491032282,-0.9698018133640289,-0.9714630097150803,13.676721413930258,13.676721413930258,0.08216970286466917,36.07016738255819,0.7755681822697321,0.8712121397256851,0.7755681822697321,0.48296222964688346
20,False,547.8666312808082,-0.9664903233448664,0.9743652641773224,-0.9664903233448664,-0.9679237951834997,14.219971895217896,14.219971895217896,0.08548253648694477,37.48156181971232,0.5729166666666666,0.7348484918475151,0.5729166666666666,0.3929286737536118
21,False,528.0261691865467,-0.9681486984093984,0.9759994000196457,-0.9681486984093984,-0.9697098831335703,13.705902258555094,13.705902258555094,0.08236186862646284,36.928802808125816,0.7130681822697321,0.8712121397256851,0.7130681822697321,0.45475839274422764
22,False,516.7691149030413,-0.9708845069011053,0.9784179578224818,-0.9708845069011053,-0.9718414296706518,12.727717876434326,12.727717876434326,0.07658544028315986,35.60346825917562,0.4696969712773959,0.5757575780153275,0.4696969712773959,0.3429155358923606
23,False,522.7677466982886,-0.9687028924624125,0.9764761577049891,-0.9687028924624125,-0.9701977620522181,13.43455958366394,13.43455958366394,0.08069856558601947,36.185903231302895,0.5785984794298807,0.7424242496490479,0.5785984794298807,0.3935539595033964
24,False,514.7245011102585,-0.9684795836607615,0.9758225431044897,-0.9684795836607615,-0.9702413926521937,14.10173511505127,14.10173511505127,0.08483353310779469,36.76801538467407,0.9412878751754761,1.0,0.9412878751754761,0.558602592093548
25,False,523.2323183332171,-0.9644219974676768,0.971876859664917,-0.9644219974676768,-0.9659680426120758,14.709674994150797,14.709674994150797,0.0883170823599353,38.35814634958903,0.5615530336896578,0.6969697053233782,0.5615530336896578,0.38888375196908453
26,False,498.87007686070035,-0.9685264825820923,0.9763365139563879,-0.9685264825820923,-0.9700954258441925,13.690485080083212,13.690485080083212,0.08239751487569325,36.28066794077555,0.5037878751754761,0.6136363769570986,0.5037878751754761,0.3606360737812354
27,False,488.1254595801944,-0.9689447035392126,0.9758394161860148,-0.9689447035392126,-0.970564400156339,13.506884972254435,13.506884972254435,0.08126615656333658,36.42947737375895,0.4895833308498065,0.6060606141885122,0.4895833308498065,0.3537767396898357
28,False,505.95187014625185,-0.970773716767629,0.9778574705123901,-0.970773716767629,-0.9720968504746755,13.249145348866781,13.249145348866781,0.0796060847453756,35.25754849116007,0.4592802996436755,0.5909090961019198,0.4592802996436755,0.3395762446518359
29,False,487.54976472400483,-0.9652525534232458,0.9729484220345815,-0.9652525534232458,-0.9666739205519358,14.422727902730307,14.422727902730307,0.08664707216906105,37.88327980041504,0.9611742397149404,1.0,0.9611742397149404,0.5680448456901253
30,False,476.7632380894252,-0.9701301803191503,0.9772670517365137,-0.9701301803191503,-0.9711979478597641,13.423533280690512,13.423533280690512,0.08063753716430562,35.8107533454895,0.5236742421984673,0.6590909163157145,0.5236742421984673,0.36895331874516285
